epoch,train loss,train acc,val loss,val acc
0,1.3729822304940993,0.3328629032258065,1.3764734201961093,0.3246527777777778
1,1.341873299690985,0.35161290322580646,1.3122928937276204,0.3767361111111111
2,1.22897355364215,0.4441532258064516,1.0483468075593312,0.5555555555555556
3,1.075498390966846,0.5423387096774194,1.0536228782600827,0.5347222222222222
4,1.0121062797884788,0.5598790322580646,0.9113314814037747,0.59375
5,0.9289952191614336,0.6102822580645161,0.84104413456387,0.640625
6,0.8580708061495135,0.6538306451612903,0.7926391727394528,0.6840277777777778
7,0.8030369274077876,0.6699596774193548,0.7674626012643179,0.7065972222222222
8,0.7635183951547069,0.6971774193548387,0.7464938826031156,0.7152777777777778
9,0.7547528280365852,0.7088709677419355,0.7352662086486816,0.7170138888888888
